id,player_name,position,team_title,league,season,position_main,games,time,minutes_per_game,high_participation,goals_90,assists_90,xA_90,shots_90,key_passes_90,yellow_cards_90,red_cards_90,xGChain_90,xGBuildup_90,target_xG_90
672,Jordan Ayew,F M S,Crystal Palace,Premier-League,2023-2024,F,35,2563,73.22857142857143,1,0.1404603979711275,0.2458056964494732,0.1741291977824164,1.685524775653531,0.8778774873195475,0.2458056964494732,0.0351150994927818,0.3758157429242106,0.1938486184599259,0.1496780781388585
7603,Marc Guehi,D M S,Crystal Palace,Premier-League,2023-2024,D,25,2021,80.84,1,0.0,0.0445324096981692,0.042865488628448,0.2226620484908461,0.3117268678871845,0.0890648193963384,0.0,0.2969389501820838,0.2874543485478237,0.021771628599483
9948,Michael Olise,F M S,Crystal Palace,Premier-League,2023-2024,F,19,1281,67.42105263157895,1,0.702576112412178,0.4215456674473068,0.3651052499648,3.9344262295081966,2.459016393442623,0.0,0.0,0.8483714320254131,0.3545623650857241,0.3995840644476984
603,Nathaniel Clyne,D S,Crystal Palace,Premier-League,2023-2024,D,19,1341,70.57894736842105,1,0.0,0.0,0.0100778923338691,0.2684563758389262,0.2013422818791946,0.0,0.0,0.220771276410794,0.2020155268427509,0.0122660394107935
3697,Odsonne Edouard,F M S,Crystal Palace,Premier-League,2023-2024,F,30,1534,51.13333333333333,0,0.4106910039113429,0.0,0.060777542110887,2.9921773142112125,1.0560625814863105,0.2346805736636245,0.0,0.4879491836454287,0.1253182524293078,0.4617053595756458
978,Sam Johnstone,GK,Crystal Palace,Premier-League,2023-2024,GK,20,1800,90.0,1,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0986669264733791,0.0986669264733791,0.0
8214,Tyrick Mitchell,D,Crystal Palace,Premier-League,2023-2024,D,37,3221,87.05405405405405,1,0.0558832660664389,0.0838248990996585,0.1016136542950328,0.335299596398634,0.670599192797268,0.167649798199317,0.0,0.35956403206732,0.2475079149123453,0.0617961699211867
6104,Will Hughes,M S,Crystal Palace,Premier-League,2023-2024,M,30,1924,64.13333333333334,1,0.0,0.0467775467775467,0.0798353806269701,0.3742203742203742,0.9823284823284824,0.2806652806652807,0.0,0.2683915754222541,0.2493457883604165,0.0140810031889165
1726,Abdoulaye Doucouré,M,Everton,Premier-League,2023-2024,M,32,2678,83.6875,1,0.2352501867064974,0.0336071695294996,0.085789400936731,1.5795369678864826,1.1090365944734877,0.2352501867064974,0.0,0.4482339794070775,0.1755953482766041,0.3429425633606335
9667,Amadou Onana,M S,Everton,Premier-League,2023-2024,M,30,2093,69.76666666666667,1,0.0860009555661729,0.0,0.1037980165337895,1.2470138557095078,0.7740086000955566,0.2150023889154324,0.0,0.459093235039748,0.3866858593318603,0.1097990503215186
631,Ashley Young,D M S,Everton,Premier-League,2023-2024,D,31,2305,74.35483870967742,1,0.0,0.0,0.0965645620781209,0.5075921908893709,0.8199566160520607,0.1952277657266811,0.0390455531453362,0.2656470673914328,0.2014738964421953,0.0221439402413083
7689,Ben Godfrey,D S,Everton,Premier-League,2023-2024,D,15,1131,75.4,1,0.0,0.0,0.0161513090331295,1.193633952254642,0.2387267904509283,0.1591511936339522,0.0,0.1136558420896846,0.0913024307364494,0.1724705417252662
5555,Dominic Calvert-Lewin,F S,Everton,Premier-League,2023-2024,F,32,2234,69.8125,1,0.2820053715308863,0.0805729632945389,0.1236160789347931,2.9409131602506715,0.7654431512981199,0.0805729632945389,0.0,0.4679268063608834,0.0739362216642128,0.5489957128337108
6756,Dwight McNeil,D M S,Everton,Premier-League,2023-2024,D,35,2914,83.25714285714285,1,0.092656142759094,0.185312285518188,0.3188973357332084,1.7604667124227864,2.131091283459163,0.061770761839396,0.0,0.4538334134899658,0.1653927674756098,0.1124445300398416
668,Idrissa Gueye,M S,Everton,Premier-League,2023-2024,M,25,1930,77.2,1,0.1865284974093264,0.0,0.0482493773044854,1.212435233160622,0.6994818652849741,0.3730569948186528,0.0,0.3685891000274086,0.2764190194906348,0.0774816997793208
