id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,league,season,jornada,fecha_descarga
7020,Gorka Guruzeta,11,636,1,2.375525552779436,0,0.8472562208771706,23,7,1,0,F M S,Athletic Club,1,2.375525552779436,3.356604691594839,0.9172134567052126,La-Liga,2025-2026,13,2025-11-26 18:51:38
7074,Nicolás González,10,660,1,2.6838228702545166,0,1.284038744866848,19,5,2,0,D F M S,Atletico Madrid,1,2.6838228702545166,4.636908933520317,2.2412767950445414,La-Liga,2025-2026,13,2025-11-26 18:51:38
7174,Adrià Pedrosa,9,439,1,0.5511669926345348,0,0.9932456463575363,8,12,3,0,D S,"Elche,Sevilla",1,0.5511669926345348,3.38956555724144,2.070893432945013,La-Liga,2025-2026,13,2025-11-26 18:51:38
7236,Leander Dendoncker,12,1043,1,0.38725297898054123,0,0.42255929857492447,6,6,2,0,M,Real Oviedo,1,0.38725297898054123,1.4515083190053701,0.8504801671952009,La-Liga,2025-2026,13,2025-11-26 18:51:38
7276,Robin Le Normand,10,888,1,1.0887540504336357,0,0,3,0,2,0,D,Atletico Madrid,1,1.0887540504336357,4.100982939824462,3.99866465292871,La-Liga,2025-2026,13,2025-11-26 18:51:38
7605,Manuel Sánchez,12,1061,1,0.8703487887978554,1,0.8704036734998226,5,8,4,0,D,Levante,1,0.8703487887978554,4.93292542360723,3.7095927260816097,La-Liga,2025-2026,13,2025-11-26 18:51:38
7779,Oihan Sancet,10,702,1,2.66807883605361,0,0.7391864489763975,16,13,1,1,M S,Athletic Club,0,1.924801204353571,1.939509792253375,0.4780984278768301,La-Liga,2025-2026,13,2025-11-26 18:51:38
7829,Eder Militão,10,813,1,0.8351938603445888,1,0.7483007907867432,13,5,2,0,D S,Real Madrid,1,0.8351938603445888,3.34761312417686,3.2764230743050575,La-Liga,2025-2026,13,2025-11-26 18:51:38
7842,Aleix Febas,13,1170,1,1.236717777326703,0,0.7763762008398771,9,13,2,0,M,Elche,1,1.236717777326703,6.820036021992564,5.6756011340767145,La-Liga,2025-2026,13,2025-11-26 18:51:38
7870,Luis Rioja,13,889,1,0.9212195780128241,3,1.5546345133334398,16,12,1,0,M S,Valencia,1,0.9212195780128241,2.8777066245675087,1.413123456761241,La-Liga,2025-2026,13,2025-11-26 18:51:38
7888,Nemanja Gudelj,11,610,1,0.4828777965158224,0,0.13129394128918648,12,2,2,0,M S,Sevilla,1,0.4828777965158224,1.70076297596097,1.5803609564900398,La-Liga,2025-2026,13,2025-11-26 18:51:38
7916,Pol Lozano,13,962,1,0.15047372691333294,0,0.3186702160164714,6,7,3,0,M S,Espanyol,1,0.15047372691333294,2.8349733743816614,2.459325874224305,La-Liga,2025-2026,13,2025-11-26 18:51:38
8001,Takefusa Kubo,11,595,1,1.3061661422252655,0,1.1790363043546677,14,10,0,0,F M S,Real Sociedad,1,1.3061661422252655,3.637863278388977,2.4043211825191975,La-Liga,2025-2026,13,2025-11-26 18:51:38
8042,Raul García,13,499,1,2.7478360384702682,0,0.31400410272181034,16,5,1,0,F S,Osasuna,1,2.7478360384702682,2.6699598878622055,0.2174640353769064,La-Liga,2025-2026,13,2025-11-26 18:51:38
8045,Eric Garcia,13,1013,1,1.8646820969879627,0,0.8140539657324553,10,16,0,0,D M S,Barcelona,1,1.8646820969879627,9.798416510224342,9.19239504635334,La-Liga,2025-2026,13,2025-11-26 18:51:38
8070,Mateu Morey,9,460,1,0.18371310085058212,0,0.516222694888711,4,3,2,0,D S,Mallorca,1,0.18371310085058212,1.1125931404531002,0.4921427480876446,La-Liga,2025-2026,13,2025-11-26 18:51:38
8122,Sergio Carreira,10,896,1,0.5093944296240807,1,0.1755618518218398,5,4,1,0,D,Celta Vigo,1,0.5093944296240807,4.933008249849081,4.339387681335211,La-Liga,2025-2026,13,2025-11-26 18:51:38
8165,Lucien Agoume,10,780,1,0.18699822574853897,1,0.9468046613037586,2,8,4,0,M S,Sevilla,1,0.18699822574853897,3.7632491774857044,3.165635172277689,La-Liga,2025-2026,13,2025-11-26 18:51:38
8230,German Valera,12,869,1,0.8166075833141804,2,1.935264278203249,9,14,1,0,D F M S,Elche,1,0.8166075833141804,3.9181763604283333,2.962267331779003,La-Liga,2025-2026,13,2025-11-26 18:51:38
8292,Dani Olmo,11,668,1,2.3563571479171515,2,1.9675445649772882,27,17,0,0,M S,Barcelona,1,2.3563571479171515,7.703238055109978,4.216274790465832,La-Liga,2025-2026,13,2025-11-26 18:51:38
8417,Álex Baena,8,463,1,0.4714528825134039,1,1.9977876096963882,8,17,1,0,M S,Atletico Madrid,1,0.4714528825134039,3.8512304425239563,2.2039288505911827,La-Liga,2025-2026,13,2025-11-26 18:51:38
8733,Alfonso Espino,8,176,1,0.9092073440551758,0,1.0656593702733517,2,3,0,0,D S,Rayo Vallecano,1,0.9092073440551758,1.999909095466137,0.6887424513697624,La-Liga,2025-2026,13,2025-11-26 18:51:38
8948,Aitor Paredes,7,545,1,0.8103449605405331,0,0,4,0,1,0,D S,Athletic Club,1,0.8103449605405331,0.3904898725450039,0.3904898725450039,La-Liga,2025-2026,13,2025-11-26 18:51:38
9011,Óscar Mingueza,12,698,1,0.30561947636306286,2,2.3962648045271635,7,15,1,0,D S,Celta Vigo,1,0.30561947636306286,5.00681534782052,3.6741557978093624,La-Liga,2025-2026,13,2025-11-26 18:51:38
9040,Conor Gallagher,13,329,1,0.5811950759962201,0,0.4070146381855011,5,2,1,0,M S,Atletico Madrid,1,0.5811950759962201,3.3563390485942364,2.368129450827837,La-Liga,2025-2026,13,2025-11-26 18:51:38
9199,John Donald,8,171,1,0.7064490858465433,0,0,4,0,1,0,D M S,Elche,1,0.7064490858465433,2.6613654736429453,1.954916387796402,La-Liga,2025-2026,13,2025-11-26 18:51:38
